City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,271.13,82,96,1.08,CL,1692322288
1,hermanus,-34.4187,19.2345,284.71,85,3,5.76,ZA,1692322522
2,ushuaia,-54.8,-68.3,274.96,64,0,2.06,AR,1692322301
3,albany,42.6001,-73.9662,295.51,83,4,0.89,US,1692322486
4,grytviken,-54.2811,-36.5092,265.43,77,15,8.04,GS,1692322493
5,hirara,24.8,125.2833,302.3,74,75,1.54,JP,1692322523
6,port-aux-francais,-49.35,70.2167,273.63,72,96,20.19,TF,1692322524
7,vernon,50.2581,-119.2691,310.54,21,0,2.68,CA,1692322524
8,fale old settlement,-9.3852,-171.2468,301.29,78,98,9.04,TK,1692322524
9,tarfaya,27.9358,-12.9218,294.37,88,38,8.62,MA,1692322525
10,ebon,4.582,168.6964,301.33,71,100,1.73,MH,1692322525
11,kailua-kona,19.6406,-155.9956,302.32,79,100,5.66,US,1692322525
12,thompson,55.7435,-97.8558,292.24,59,75,1.54,CA,1692322345
13,saint-girons,42.9167,1.1667,292.73,88,63,2.01,FR,1692322526
14,vorgashor,67.5833,63.95,286.7,87,98,2.23,RU,1692322526
15,monrovia,6.3005,-10.7969,298.02,87,100,4.85,LR,1692322526
16,arraial do cabo,-22.9661,-42.0278,293.91,85,0,11.44,BR,1692322526
17,fuyu,45.1833,124.8167,300.7,76,100,4.94,CN,1692322527
18,college,64.8569,-147.8028,288.26,75,75,8.23,US,1692322487
19,bethel,41.3712,-73.414,295.08,86,100,0.45,US,1692322367
20,gergebil',42.5047,47.0661,290.87,85,50,2.21,RU,1692322527
21,tiksi,71.6872,128.8694,277.39,89,100,4.83,RU,1692322528
22,bandarbeyla,9.4942,50.8122,297.85,77,40,10.88,SO,1692322528
23,ilion,38.0333,23.7,301.68,59,20,1.34,GR,1692322528
24,el chorrillo,-33.2909,-66.268,280.81,85,0,5.1,AR,1692322529
25,villa rica,33.7321,-84.9191,299.08,92,0,1.76,US,1692322345
26,hawaiian paradise park,19.5933,-154.9731,299.88,82,100,4.12,US,1692322507
27,acarau,-2.8856,-40.12,298.39,83,41,6.9,BR,1692322375
28,ribeira grande,38.5167,-28.7,296.36,88,67,7.15,PT,1692322491
29,yellowknife,62.456,-114.3525,290.6,59,75,8.23,CA,1692322496
30,sarigerme,36.7155,28.7044,297.88,88,0,2.06,TR,1692322531
31,yaya,56.206,86.44,283.76,95,99,3.14,RU,1692322531
32,west island,-12.1568,96.8225,296.14,88,75,10.29,CC,1692322531
33,port mathurin,-19.6833,63.4167,295.93,77,29,6.3,MU,1692322500
34,qui nhon,13.7667,109.2333,305.03,57,6,1.04,VN,1692322532
35,waitangi,-43.9535,-176.5597,282.49,74,100,4.47,NZ,1692322490
36,lejanias,3.5251,-74.0216,294.03,93,13,2.2,CO,1692322532
37,hamilton,39.1834,-84.5333,294.5,90,40,2.57,US,1692322281
38,codrington,-38.2667,141.9667,284.7,62,50,9.1,AU,1692322533
39,cannonvale,-20.2833,148.7,296.81,65,12,6.1,AU,1692322534
40,betio village,1.358,172.9211,299.17,70,81,3.07,KI,1692322534
41,pacific grove,36.6177,-121.9166,295.49,86,100,3.6,US,1692322535
42,st. john's,47.5649,-52.7093,286.01,93,0,2.57,CA,1692322536
43,adamstown,-25.066,-130.1015,290.77,55,95,11.88,PN,1692322536
44,new norfolk,-42.7826,147.0587,285.77,80,100,2.12,AU,1692322536
45,cockburn town,21.4612,-71.1419,301.85,83,26,9.78,TC,1692322537
46,richards bay,-28.783,32.0377,292.83,84,100,4.96,ZA,1692322537
47,hadibu,12.65,54.0333,298.69,81,58,7.58,YE,1692322537
48,belfast,54.5833,-5.9333,289.05,82,100,8.75,GB,1692322539
49,longyearbyen,78.2186,15.6401,279.06,93,75,3.6,SJ,1692322539
50,stanley,54.868,-1.6985,286.77,84,75,3.6,GB,1692322539
51,margaret river,-33.95,115.0667,287.98,67,97,2.56,AU,1692322539
52,isafjordur,66.0755,-23.124,284.31,91,100,2.58,IS,1692322497
53,kapuskasing,49.4169,-82.4331,289.2,88,75,4.63,CA,1692322540
54,yerofey pavlovich,53.9667,121.9667,290.83,51,35,4.19,RU,1692322540
55,badger,64.8,-147.5333,288.22,72,100,8.23,US,1692322498
56,dudinka,69.4058,86.1778,284.05,67,0,2.64,RU,1692322541
57,fyodorovka,53.6314,62.7078,292.67,73,36,1.69,KZ,1692322541
58,virovitica,45.8319,17.3839,294.48,66,89,0.89,HR,1692322541
59,bonthe,7.5264,-12.505,298.16,88,78,3.39,SL,1692322542
60,turbat,26.0023,63.044,298.89,78,0,2.02,PK,1692322543
61,puerto aysen,-45.4,-72.7,276.33,96,100,1.23,CL,1692322543
62,lucas,41.6501,-83.6666,294.13,87,75,4.12,US,1692322544
63,bikenibeu village,1.3673,173.1241,299.13,94,75,0.51,KI,1692322544
64,murzuq,25.9155,13.9184,302.93,21,5,1.82,LY,1692322544
65,okha,53.5739,142.9478,290.34,81,92,2.83,RU,1692322251
66,nyagan,62.1406,65.3936,292.25,85,87,0.48,RU,1692322252
67,fortuna,40.5982,-124.1573,294.78,85,20,6.17,US,1692322545
68,chikola,43.1906,43.9209,290.62,76,0,2.34,RU,1692322545
69,enewetak,11.3474,162.3373,301.74,74,28,3.9,MH,1692322499
70,eisfeld,50.4167,10.9167,290.84,94,81,0.82,DE,1692322546
71,an nuhud,12.7,28.4333,301.6,56,99,4.61,SD,1692322546
72,lompoc,34.6391,-120.4579,299.23,80,100,3.13,US,1692322489
73,dunedin,-45.8742,170.5036,284.86,52,100,1.41,NZ,1692322546
74,tolanaro,-25.0319,46.9987,293.19,60,20,8.23,MG,1692322547
75,turuntayevo,52.2,107.6167,288.2,60,92,3.23,RU,1692322547
76,qina,26.1642,32.7267,302.48,36,53,2.82,EG,1692322329
77,kolokani,13.5728,-8.0339,296.37,88,66,2.03,ML,1692322547
78,san patricio,28.017,-97.5169,304.91,67,0,6.03,US,1692322488
79,argo,37.6333,22.7333,302.47,52,0,1.99,GR,1692322548
80,kontcha,7.9667,12.2333,294.19,96,100,1.45,CM,1692322549
81,nuuk,64.1835,-51.7216,277.49,100,41,2.06,GL,1692322505
82,port alfred,-33.5906,26.891,286.37,78,5,5.15,ZA,1692322549
83,sai kung,22.3822,114.2728,304.72,84,36,0.89,CN,1692322549
84,sorong,-0.8833,131.25,299.83,85,100,5.99,ID,1692322454
85,daru,-9.0763,143.2092,299.69,62,50,4.97,PG,1692322550
86,puerto ayacucho,5.6639,-67.6236,298.21,89,89,1.66,VE,1692322550
87,bredasdorp,-34.5322,20.0403,281.23,91,0,3.61,ZA,1692322459
88,bel ombre,-4.6167,55.4167,299.06,89,75,5.14,SC,1692322550
89,edinburgh of the seven seas,-37.0676,-12.3116,286.43,85,100,10.14,SH,1692322489
90,arno,60.1167,18.6333,288.59,85,100,2.89,SE,1692322551
91,blackmans bay,-43.0167,147.3167,285.11,65,100,4.15,AU,1692322489
